company_name,ticker,cik,exchange,industry,sic_code,latest_revenue,revenue_period,revenue_growth_pct,gpt_revenue_method,gpt_accounting_standard,gpt_recognition_pattern,gpt_confidence,gpt_explanation,revenue_concepts_count,has_filing_context,url,analysis_date
SYNOPSYS INC,N/A,883241,N/A,Unknown,Unknown,5081542000,2022-10-31,20.87,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per day (RPD): Limit 200, Used 200, Requested 1. Please try again in 7m12s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/883241/000088324124000024/snps-20241031.htm,2025-09-02 17:08:45
CHUBB LIMITED,N/A,896159,N/A,Unknown,Unknown,55753000000,2024-12-31,12.1,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per min (RPM): Limit 3, Used 3, Requested 1. Please try again in 20s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/896159/000089615925000004/cb-20241231.htm,2025-09-02 17:09:11
INTEL CORPORATION,N/A,50863,N/A,Unknown,Unknown,53101000000,2024-12-28,-2.08,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per min (RPM): Limit 3, Used 3, Requested 1. Please try again in 20s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/50863/000005086325000009/intc-20241228.htm,2025-09-02 17:09:16
LOCKHEED MARTIN CORPORATION,N/A,936468,N/A,Unknown,Unknown,71043000000,2024-12-31,5.14,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per day (RPD): Limit 200, Used 200, Requested 1. Please try again in 7m12s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/936468/000093646825000009/lmt-20241231.htm,2025-09-02 17:09:42
ERROR: 'NoneType' object is not subscriptable,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,https://www.sec.gov/ix?doc=/Archives/edgar/data/1535527/000153552725000009/crwd-20250131.htm,2025-09-02 17:09:46
"DOORDASH, INC.",N/A,1792789,N/A,Unknown,Unknown,10722000000,2024-12-31,24.17,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per day (RPD): Limit 200, Used 200, Requested 1. Please try again in 7m12s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1792789/000162828025005715/dash-20241231.htm,2025-09-02 17:10:27
"INTERACTIVE BROKERS GROUP, INC.",N/A,1381197,N/A,Unknown,Unknown,2580000000,2019-12-31,9.04,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per min (RPM): Limit 3, Used 3, Requested 1. Please try again in 20s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1381197/000138119725000036/ibkr-20241231x10k.htm,2025-09-02 17:10:52
"Prologis, Inc.",N/A,1045609,N/A,Unknown,Unknown,8201610000,2024-12-31,-73.17,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per day (RPD): Limit 200, Used 200, Requested 1. Please try again in 7m12s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1045609/000095017025021272/pld-20241231.htm,2025-09-02 17:11:18
ERROR: 'NoneType' object is not subscriptable,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,https://www.sec.gov/ix?doc=/Archives/edgar/data/895728/000089572825000006/enb-20241231.htm,2025-09-02 17:11:22
The Southern Company,N/A,92122,N/A,Unknown,Unknown,26724000000,2024-12-31,5.83,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per day (RPD): Limit 200, Used 200, Requested 1. Please try again in 7m12s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/92122/000009212225000018/so-20241231.htm,2025-09-02 17:11:45
"INTERCONTINENTAL EXCHANGE, INC.",N/A,1571949,N/A,Unknown,Unknown,5834000000,2017-12-31,N/A,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per day (RPD): Limit 200, Used 200, Requested 1. Please try again in 7m12s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1571949/000157194925000003/ice-20241231.htm,2025-09-02 17:12:30
"Marsh & McLennan Companies, Inc.",N/A,62709,N/A,Unknown,Unknown,24458000000,2024-12-31,7.57,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per day (RPD): Limit 200, Used 200, Requested 1. Please try again in 7m12s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/62709/000006270925000015/mmc-20241231.htm,2025-09-02 17:13:15
VERTEX PHARMACEUTICALS INC / MA,N/A,875320,N/A,Unknown,Unknown,2488652000,2017-12-31,-73.82,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per min (RPM): Limit 3, Used 3, Requested 1. Please try again in 20s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/875320/000087532025000053/vrtx-20241231.htm,2025-09-02 17:13:21
Starbucks Corporation,N/A,829224,N/A,Unknown,Unknown,36176200000,2024-09-29,0.56,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per day (RPD): Limit 200, Used 200, Requested 1. Please try again in 7m12s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/829224/000082922424000057/sbux-20240929.htm,2025-09-02 17:14:06
CONSTELLATION ENERGY CORPORATION,N/A,1868275,N/A,Unknown,Unknown,23568000000,2024-12-31,-5.42,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per min (RPM): Limit 3, Used 3, Requested 1. Please try again in 20s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1868275/000186827525000023/ceg-20241231.htm,2025-09-02 17:14:12
ROYAL CARIBBEAN CRUISES LTD,N/A,884887,N/A,Unknown,Unknown,2332301000,2018-12-31,-16.59,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per day (RPD): Limit 200, Used 200, Requested 1. Please try again in 7m12s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/884887/000088488725000050/rcl-20241231.htm,2025-09-02 17:14:57
CME GROUP INC.,N/A,1156375,N/A,Unknown,Unknown,6130100000,2024-12-31,9.88,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per min (RPM): Limit 3, Used 3, Requested 1. Please try again in 20s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1156375/000115637525000021/cme-20241231.htm,2025-09-02 17:15:03
MICROSTRATEGY INCORPORATED,N/A,1050446,N/A,Unknown,Unknown,463456000,2024-12-31,-6.61,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per min (RPM): Limit 3, Used 3, Requested 1. Please try again in 20s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1050446/000095017025021814/mstr-20241231.htm,2025-09-02 17:15:48
ERROR: 'NoneType' object is not subscriptable,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,https://www.sec.gov/ix?doc=/Archives/edgar/data/1937926/000193792625000007/bam-20241231.htm,2025-09-02 17:15:52
PARKER-HANNIFIN CORPORATION,N/A,76334,N/A,Unknown,Unknown,14302392000,2018-06-30,-73.31,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per day (RPD): Limit 200, Used 200, Requested 1. Please try again in 7m12s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/76334/000007633425000035/ph-20250630.htm,2025-09-02 17:16:14
BRISTOL-MYERS SQUIBB COMPANY,N/A,14272,N/A,Unknown,Unknown,48300000000,2024-12-31,7.32,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per day (RPD): Limit 200, Used 200, Requested 1. Please try again in 7m12s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/14272/000001427225000039/bmy-20241231.htm,2025-09-02 17:16:40
DUKE ENERGY CORPORATION,N/A,1326160,N/A,Unknown,Unknown,19624000000,2012-12-31,-70.98,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per day (RPD): Limit 200, Used 200, Requested 1. Please try again in 7m12s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1326160/000132616025000072/duk-20241231.htm,2025-09-02 17:17:25
AMERICAN TOWER CORPORATION,N/A,1053507,N/A,Unknown,Unknown,10127200000,2024-12-31,-74.84,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per day (RPD): Limit 200, Used 200, Requested 1. Please try again in 7m12s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1053507/000105350725000025/amt-20241231.htm,2025-09-02 17:17:50
"HCA Healthcare, Inc.",N/A,860730,N/A,Unknown,Unknown,70603000000,2024-12-31,8.67,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per day (RPD): Limit 200, Used 200, Requested 1. Please try again in 7m12s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/860730/000095017025020134/hca-20241231.htm,2025-09-02 17:18:15
TRANE TECHNOLOGIES PLC,N/A,1466258,N/A,Unknown,Unknown,14782000000,2011-12-31,4.99,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per day (RPD): Limit 200, Used 200, Requested 1. Please try again in 7m12s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1466258/000146625825000039/tt-20241231.htm,2025-09-02 17:19:01
"CADENCE DESIGN SYSTEMS, INC.",N/A,813672,N/A,Unknown,Unknown,4641264000,2024-12-31,13.48,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per day (RPD): Limit 200, Used 200, Requested 1. Please try again in 7m12s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/813672/000081367225000024/cdns-20241231.htm,2025-09-02 17:19:26
"Robinhood Markets, Inc.",N/A,1783879,N/A,Unknown,Unknown,2951000000,2024-12-31,58.23,GPT Error: upstream connect error or disconnect/reset before ,Error,Error,0,Error analyzing: upstream connect error or disconnect/reset before headers. reset reason: connection timeout,1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1783879/000178387925000049/hood-20241231.htm,2025-09-02 17:20:01
THE SHERWIN-WILLIAMS COMPANY,N/A,89800,N/A,Unknown,Unknown,17900800000,2019-12-31,-77.02,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per min (RPM): Limit 3, Used 3, Requested 1. Please try again in 20s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/89800/000008980025000030/shw-20241231.htm,2025-09-02 17:20:07
Moody’s Corporation,N/A,1059556,N/A,Unknown,Unknown,4204100000,2017-12-31,-72.28,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per day (RPD): Limit 200, Used 200, Requested 1. Please try again in 7m12s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1059556/000105955625000025/mco-20241231.htm,2025-09-02 17:20:52
CVS HEALTH CORPORATION,N/A,64803,N/A,Unknown,Unknown,372809000000,2024-12-31,4.2,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per min (RPM): Limit 3, Used 3, Requested 1. Please try again in 20s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/64803/000006480325000007/cvs-20241231.htm,2025-09-02 17:20:58
"Waste Management, Inc",N/A,823768,N/A,Unknown,Unknown,14485000000,2017-12-31,-74.79,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per min (RPM): Limit 3, Used 3, Requested 1. Please try again in 20s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/823768/000155837025001132/wm-20241231x10k.htm,2025-09-02 17:21:44
Dell Technologies Inc.,N/A,1571996,N/A,Unknown,Unknown,95567000000,2025-01-31,-74.96,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per min (RPM): Limit 3, Used 3, Requested 1. Please try again in 20s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1571996/000157199625000034/dell-20250131.htm,2025-09-02 17:21:50
O Reilly Automotive Inc,N/A,898173,N/A,Unknown,Unknown,16708479000,2024-12-31,336.02,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per min (RPM): Limit 3, Used 3, Requested 1. Please try again in 20s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/898173/000089817325000008/orly-20241231x10k.htm,2025-09-02 17:22:15
GENERAL DYNAMICS CORPORATION,N/A,40533,N/A,Unknown,Unknown,47716000000,2024-12-31,12.88,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per day (RPD): Limit 200, Used 200, Requested 1. Please try again in 7m12s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/40533/000004053325000008/gd-20241231.htm,2025-09-02 17:22:41
Cintas Corporation,N/A,723254,N/A,Unknown,Unknown,1619584000,2020-05-31,-10.55,GPT Error: upstream connect error or disconnect/reset before ,Error,Error,0,Error analyzing: upstream connect error or disconnect/reset before headers. reset reason: connection timeout,1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/723254/000072325425000017/ctas-20250531.htm,2025-09-02 17:23:35
Roblox Corporation,N/A,1315098,N/A,Unknown,Unknown,2225052000,2022-12-31,15.94,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per day (RPD): Limit 200, Used 200, Requested 1. Please try again in 7m12s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1315098/000131509825000033/rblx-20241231.htm,2025-09-02 17:23:40
McKESSON CORPORATION,N/A,927653,N/A,Unknown,Unknown,112084000000,2011-03-31,-74.26,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per day (RPD): Limit 200, Used 200, Requested 1. Please try again in 7m12s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/927653/000092765325000036/mck-20250331.htm,2025-09-02 17:24:25
NORTHROP GRUMMAN CORP /DE/,N/A,1133421,N/A,Unknown,Unknown,41033000000,2024-12-31,4.44,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per day (RPD): Limit 200, Used 200, Requested 1. Please try again in 7m12s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/1133421/000113342125000006/noc-20241231.htm,2025-09-02 17:25:10
3M COMPANY,N/A,66740,N/A,Unknown,Unknown,24575000000,2024-12-31,-75.54,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per day (RPD): Limit 200, Used 200, Requested 1. Please try again in 7m12s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/66740/000006674025000006/mmm-20241231.htm,2025-09-02 17:25:16
ERROR: 'NoneType' object is not subscriptable,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,https://www.sec.gov/ix?doc=/Archives/edgar/data/1222333/000143774924036161/gld20240930_10k.htm,2025-09-02 17:25:21
"PNC Financial Services Group, Inc.",N/A,713676,N/A,Unknown,Unknown,21555000000,2024-12-31,0.3,GPT Error: Error code: 429 - {'error': {'message': 'Rate limi,Error,Error,0,"Error analyzing: Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-ZMMMMF211fTKiDn7Jkb5HvWw on requests per day (RPD): Limit 200, Used 200, Requested 1. Please try again in 7m12s. Visit https://platform.openai.com/account/rate-limits to learn more. You can increase your rate limit by adding a payment method to your account at https://platform.openai.com/account/billing.', 'type': 'requests', 'param': None, 'code': 'rate_limit_exceeded'}}",1,False,https://www.sec.gov/ix?doc=/Archives/edgar/data/713676/000071367625000027/pnc-20241231.htm,2025-09-02 17:26:03
